タグ	使用頻度	略語	英文	和訳	説明	具体例
送受,制御	5	[BK]	Break in conversation	交信の区切り(転送交代)	コンテストでの数字交換や短い会話で、コールサインを省略し、BKだけで迅速に送受信を交代する。	相手に「599 BK」でレポートを送り交代を促す。
送受,制御	5	K	Go ahead (invite any station to transmit)	どうぞ(送信をどうぞ)	通常の交信でメッセージ送信後、Kを送って任意の局に送信を許可する。	挨拶後「DE JA1ABC K」で送信を促す。
送受,制御	5	KN	Go ahead (specific station only)	特定局どうぞ(他局送信禁止)	特定局との交信で、他局の割り込みを防ぎKNを送る。	CQ応答後「KN」でその局だけに送信を限定。
送受,制御	5	[AR]	End of message	送信終了	メッセージの終わりを示し、ARを送って次の送信を待つ。	レポート後「AR」で終了を明示。
送受,制御	4	[AS]	Stand by	待機	一時的な待機を指示。	信号調整中「AS」で相手に待ってもらう。
送受,制御	5	[BT]	Break (between parts of message)	メッセージ内の区切り	長いメッセージを区切るためにBTを使用。	住所の部分ごとに「BT」で区切る。
送受,制御	2	[HH]	Error (correction signal)	訂正(誤り)	送信ミス時にHHを送り訂正を依頼。	数字を間違えたら「HH 5NN」で訂正。
送受,制御	3	[VA]	End of contact	交信終了(さようなら)	交信の完全終了を示す。	最終挨拶後「VA」で連絡を切る。
送受,制御	5	[SK]	End of contact	交信終了/(別意)故人オペレーター	交信終了を伝え、SKで締めくくる。	「TU SK」で感謝し終了。別意で故人オペレーターを指す。
送受,制御	1	[CL]	Closing station	これで閉局します	運用終了を宣言。	夜間運用後「CL」で閉局を伝える。
送受,制御	2	[CT]	Start of transmission	送信開始またはテスト信号	送信開始時にCTを送りテストや本開始を示す。	テスト送信「CT CT」で確認。
確認,返答	5	C	Yes; Correct	はい、正しい	肯定や正解の確認にCを使用。	相手の質問に「C」でYesと答える。
確認,返答	4	CFM	Confirm	確認します/確認してください	確認を求める際にCFM。	住所確認「CFM MY ADR?」
確認,返答,疑問	5	QSL?	Can you acknowledge receipt?	交信証をいただけますか	QSLカードの受信確認を求める。	交信後「QSL?」で確認依頼。
確認,返答	5	QSL	I acknowledge receipt	交信証を送ります	QSLカードの発行を意味。	終了時「QSL TU」で確認と感謝。
確認,返答	5	R	All received OK	了解	受信確認の略。	メッセージ後「R」でOKを示す。
確認,返答	5	TU	Thank you	ありがとう	感謝の意を伝える。	交信後「TU SK」で礼を述べる。
確認,返答	4	AGN	Again	もう一度	聞き取れなかった部分を再送依頼。	「AGN RST」でレポート再送。
確認,返答	4	[RPT]	Repeat (again)	繰り返してください	繰り返しを依頼。	ノイズで「RPT QTH」で位置再送。
交信,状態,Q符号,疑問	1	QRA?	What is your station name?	あなたの局名は？	局名を尋ねる。	新局に「QRA?」でコールサイン確認。
交信,状態,Q符号	1	QRA	My station name is ...	私の局名は…	自分の局名を伝える。	「QRA JA1ABC」で自己紹介。
交信,状態,Q符号,疑問	1	QRH?	Does my frequency vary?	私の周波数は変動していますか？	周波数の変動を尋ねる。	ドリフト疑い「QRH?」
交信,状態,Q符号	1	QRH	Your frequency varies	あなたの周波数は変動しています	相手の周波数変動を指摘。	「QRH PSE CORRECT」で修正依頼。
交信,状態,Q符号,疑問	2	QRK?	What is my signal intelligibility?	私の信号の了解度は？	信号の可読性を尋ねる。	「QRK?」でレポート依頼。
交信,状態,Q符号	2	QRK	Your signals are ... readable	あなたの信号は…の了解度です	相手の信号品質を報告。	「QRK 5」で良好と伝える。
交信,状態,Q符号,疑問	5	QRL?	Are you busy?	この周波数を使っていますか？	周波数の使用状況を確認。	CQ前に「QRL?」で空き確認。
交信,状態,Q符号	5	QRL	I am busy (or this frequency is busy)	この周波数は使用中です	使用中を伝える。	割り込みに「QRL SORRY」で拒否。
交信,状態,Q符号,疑問	4	QRM?	Is my transmission being interfered with?	私の信号は妨害を受けていますか？	干渉の有無を尋ねる。	混信時「QRM?」で確認。
交信,状態,Q符号	4	QRM	Your transmission is being interfered with	あなたの信号は妨害されています	相手の干渉を指摘。	「QRM BAD PSE QSY」で周波数変更依頼。
交信,状態,Q符号,疑問	4	QRN?	Are you troubled by static?	私の信号は雑音(空電)がありますか？	静電気ノイズの影響を尋ねる。	悪条件時「QRN?」
交信,状態,Q符号	4	QRN	I am troubled by static	あなたの信号は雑音(空電)があります	ノイズを報告。	「QRN 5 RST 339」で影響伝える。
交信,状態,Q符号,疑問	4	QSB?	Is my signal fading?	私の信号は変動していますか？	信号のフェーディングを尋ねる。	変動時「QSB?」
交信,状態,Q符号	4	QSB	Your signal is fading	あなたの信号は変動しています	相手のフェーディングを報告。	「QSB BAD PSE SLOWER」で速度調整。
交信,状態,Q符号,疑問	3	QRT?	Shall I stop sending?	送信を止めましょうか？	送信停止を提案。	終了時「QRT?」で確認。
交信,状態,Q符号	3	QRT	Stop sending	送信を止めてください	送信停止を指示。	混信時「QRT NOW」で止める。
交信,状態,Q符号,疑問	2	QRU?	Have you anything for me?	何か伝言ありますか？	伝言の有無を尋ねる。	ネット運用「QRU?」
交信,状態,Q符号	2	QRU	I have nothing for you	何もありません	伝言なしを伝える。	「QRU NIL」で終了。
交信,状態,Q符号,疑問	4	QRV?	Are you ready?	あなたは準備できていますか？	準備状況を確認。	スケジュール前「QRV?」
交信,状態,Q符号	4	QRV	I am ready	私は準備できています	準備完了を伝える。	「QRV QSL」で開始。
交信,状態,Q符号,疑問	2	QRX?	When will you call me again?	いつあなたは私を再び呼びますか？	再コール時間を尋ねる。	切断時「QRX 2200Z」で指定。
交信,状態,Q符号	2	QRX	I will call you again at ...	私はあなたを…に再び呼びます	再コール時間を伝える。	「QRX 1HR」で1時間後。
交信,状態,Q符号,疑問	5	QRZ?	Who is calling me?	誰が私を呼んでいますか？	呼び出し元を尋ねる。	雑音中「QRZ DE JA1ABC」で確認。
交信,状態,Q符号	5	QRZ	You are being called by ...	あなたは…に呼ばれています	呼び出し元を伝える。	「QRZ JA1ABC」で特定。
出力,速度,Q符号,疑問	3	QRO?	Shall I increase power?	出力を上げましょうか？	出力増加を提案。	弱信号時「QRO?」
出力,速度,Q符号	3	QRO	Increase power	出力を上げてください	出力増加を指示。	「QRO PSE」で強化依頼。
出力,速度,Q符号,疑問	4	QRP?	Shall I decrease power?	出力を下げましょうか？	出力減少を提案。	強すぎ「QRP?」
出力,速度,Q符号	4	QRP	Decrease power	出力を下げてください	出力減少を指示。	「QRP OK」で低出力運用。
出力,速度,Q符号,疑問	2	QRQ?	Shall I send faster?	もっと速く送りましょうか？	送信速度向上を提案。	速い運用「QRQ?」
出力,速度,Q符号	2	QRQ	Send faster	もっと速く送ってください	速度向上を指示。	「QRQ 30WPM」で指定。
出力,速度,Q符号,疑問	5	QRS?	Shall I send slower?	もっとゆっくり送りましょうか？	送信速度低下を提案。	聞き取り難「QRS?」
出力,速度,Q符号	5	QRS	Send slower	もっとゆっくり送ってください	速度低下を指示。	「QRS PSE」でゆっくり。
周波数,通信,Q符号,疑問	4	QSY?	Shall I change frequency?	周波数を変えましょうか？	周波数変更を提案。	混信時「QSY 14050?」
周波数,通信,Q符号	4	QSY	Change frequency	周波数を変えてください	周波数変更を指示。	「QSY UP 5」で5kHz上。
周波数,通信,Q符号,疑問	1	QSU?	Shall I send on this frequency?	この周波数で送信しましょうか？	この周波数使用を提案。	「QSU 7070?」
周波数,通信,Q符号	1	QSU	Send on this frequency	この周波数で送信してください	この周波数使用を指示。	「QSU PSE」で確認。
周波数,通信,Q符号,疑問	2	QSX?	Will you listen to ... on ... kHz?	…を…kHzで受信しますか？	特定周波数受信を尋ねる。	「QSX 14200 7.000?」
周波数,通信,Q符号	2	QSX	I am listening to ... on ... kHz	…を…kHzで受信しています	特定周波数受信を伝える。	「QSX 14200 CW」で待機。
通信,Q符号,疑問	5	QSO?	Can you communicate with ...?	…と交信できますか？	特定局との交信可能性を尋ねる。	DX「QSO JA1ABC?」
通信,Q符号	5	QSO	I can communicate with ...	…と交信できます	交信可能を伝える。	「QSO OK」で開始。
通信,Q符号,疑問	2	QSP?	Will you relay to ...?	…へ中継してもらえますか？	中継依頼。	伝言「QSP JA1ABC?」
