タグ	使用頻度	略語	英文	和訳	説明	具体例
挨拶,定型表現	3	30	I have no more to send	これ以上なし	メッセージなし終了。	トラフィック終了「NM 30 AR」でこれ以上送信なし。
挨拶,定型表現	2	33	Fondest Regards	親愛の挨拶	親愛の挨拶。	YL間で「TNX QSO 33 73」で友情の挨拶。
挨拶,定型表現	2	44	Flora and Fauna	動植物	動植物。	「44 WX」で天気動植物。
挨拶,定型表現	2	55	Best Success	成功を祈る	成功祈る。	「55 GL」で成功。
挨拶,定型表現	2	72	Best Regards	よろしく(QRP用)	QRP用よろしく。	QRP運用「72 DE K4SWL」で5W以下を示す。
挨拶,定型表現	5	73	Best regards	よろしくお願いします	親愛の締め。	交信終了「TNX FB QSO 73 SK」で感謝と礼。
挨拶,定型表現	3	88	Love and kisses	愛を込めて(親しい関係)	恋人向け挨拶。	夫婦間「73 88 CUL XYL」で愛情表現。
挨拶,定型表現	2	99	Best wishes	成功を祈る(主にコンテスト)	コンテストの励まし。	コンテスト「99 GL IN CONTEST」で幸運を祈る。
挨拶,定型表現	2	161	Best regards to you and your XYL	家族によろしく	家族によろしく。	「161 XYL」で妻に。
挨拶,定型表現,プロサイン	2	[?]	Question Mark / I repeat	疑問/繰り返し	疑問や繰り返し。	「? AGN」で繰り返し。
送受,制御,プロサイン	3	[AA]	All after	以降すべて	メッセージの指定点以降の繰り返しを依頼。	? AA で以降の部分を再送依頼。
送受,制御,プロサイン	3	[AB]	All before	以前すべて	メッセージの指定点以前の繰り返しを依頼。	? AB で以前の部分を再送依頼。
送受,制御,プロサイン	5	[AR]	End of message	送信終了	メッセージの終わりを示し、ARを送って次の送信を待つ。	メッセージ後「HW? AR W8ABC DE KB6NU K」でコールサイン前に送信。
送受,制御,プロサイン	4	[AS]	Stand by	待機	一時的な待機を指示。	アンテナ調整中「AS」で少々待機を依頼。
送受,制御,プロサイン	5	[BK]	Break in conversation	交信の区切り(転送交代)	コンテストや短い会話で、コールサインを省略し、BKで送受信を交代。	コンテストで「599 BK」と送り即座に交代、コールサイン省略。
送受,制御,プロサイン	4	[BN]	All between	間すべて	メッセージの2点間の繰り返しを依頼。	BN AA AB で間の部分を再送。
送受,制御,プロサイン	5	[BT]	Break (between parts of message)	メッセージ内の区切り	長いメッセージを区切るためにBTを使用。	長文で「NAME JOHN BT QTH TOKYO BT」と区切りを入れる。
送受,制御,プロサイン	1	[CL]	Closing station	これで閉局します	運用終了を宣言。	運用終了「73 CUL GE SK JA1ABC DE WA5MHE CL」で閉局宣言。
送受,制御,プロサイン	2	[CT]	Start of transmission	送信開始またはテスト信号	送信開始時にCTを送りテストや本開始を示す。	テスト送信「CT CT」で確認。
送受,制御,プロサイン	2	[HH]	Error (correction signal)	訂正(誤り)	送信ミス時にHHを送り訂正を依頼。	送信ミス「HH 5NN」で訂正して正しく再送。
確認,返答	3	[IMI]	Repeat; Say again	繰り返し/もう一度言って	特定の部分の繰り返しを依頼。	特定部分「IMI LAST WORD」で最後の単語再送依頼。
送受,制御,プロサイン	4	[QSK]	Can you operate break-in?	ブレイクイン可能ですか？	送受信の即時切り替えを尋ねる。	フルブレイクイン確認「QSK?」で即座送受切替可能か確認。
確認,返答,プロサイン	4	[RPT]	Repeat (again)	繰り返してください	繰り返しを依頼。	ノイズで「RPT QTH」で位置再送依頼。
送受,制御,プロサイン	5	[SK]	End of contact	交信終了/(別意)故人オペレーター	交信終了を伝え、SKで締めくくる。別意で故人オペレーターを指す。	交信終了「73 GN SK W8ABC DE KB6NU CL」で完全終了。
送受,制御,プロサイン	3	[VA]	End of contact	交信終了(さようなら)	交信の完全終了を示す。	最終挨拶後「GN 73 VA」で完全終了を示す。
挨拶,定型表現,プロサイン	3	[VVV]	General call or test call	一般呼び出し、またはテスト送信	テストや一般呼び。	テスト送信「VVV VVV DE JA1ABC」で信号確認。
設備,用語	3	ABT	About	約	およそ。	「ABT 20M」で20m帯約。
メッセージ処理	3	ADEE	Addressee	宛先	メッセージの受信者。	正式メッセージで「ADEE JA1ABC」。
設備,用語	2	ADR	Address	住所	住所詳細。	QSL用「ADR TOKYO」で住所。
設備,用語	2	ADS	Address	住所	住所略。	「ADS JP3XXX」でコール住所。
設備,用語	3	AF	Africa	アフリカ	大陸指定。	「AF DX」でアフリカ。
確認,返答	4	AGN	Again	もう一度	聞き取れなかった部分を再送依頼。	再送依頼「AGN RST PSE」でレポート再送要求。
設備,用語	2	ANI	Any	任意	任意。	「ANI FREQ」で任意周波数。
設備,用語	3	ANS	Answer	回答	返答。	質問に「ANS C」でYes。
設備,用語	3	ANT	Antenna	アンテナ	アンテナの種類を伝える。	アンテナ「ANT DIPOLE 20M」でアンテナ種類。
設備,用語	3	B4	Before	以前	以前。	「B4 QSO」で前交信。
設備,用語	2	BCI	Broadcast Interference	放送干渉	放送干渉。	「BCI TV」でTV妨害。
干渉関連	3	BCI	Broadcast interference	放送干渉	放送局からの干渉。	「BCI on TV」でTV干渉報告。
設備,用語	2	BCK	Back	戻る	戻る。	トピック「BCK QTH」で位置に戻る。
設備,用語	3	BCL	Broadcast Listener	放送聴取者	放送リスナー。	「BCL QRM」で干渉注意。
設備,用語	4	BCNU	Be seeing you	また会いましょう	別れ。	再会「BCNU 73 SK」でまた会いましょう。
設備,用語	3	BCSE	Because	なぜなら	理由。	「BCSE QRN」でノイズのため。
設備,用語	2	BD	Bad	悪い	悪い。	「BD COPY」で聞き取り悪い。
設備,用語	2	BN	Been	であった	過去。	「BN QSO」であった。
設備,用語	2	BTH	Both	両方	両方。	「BTH OK」で両方可。
設備,用語	3	BTR	Better	より良い	より良い。	「BTR RST」でレポート改善。
設備,用語	3	BTU	Back to you	お返事	返事。	返事「BTU OM」でお返事どうぞ。
設備,用語	4	BTW	By the way	ところで	ちなみに。	ちなみに「BTW WX FB」でところで天気良好。
設備,用語	3	BUG	Semi-Automatic Key	バグキー	半自動キー。	「BUG KEY」でキー種類。
設備,用語	2	BURO	Bureau	ビューロー	QSL局。	ビューロー「QSL VIA BURO」で局経由カード。
確認,返答	5	C	Yes; Correct	はい、正しい	肯定や正解の確認にCを使用。	肯定「QRL? C」でYes周波数使用中。
設備,用語	2	CBA	Call book address	コールブック住所	コールブック住所。	「CBA JP3XXX」で住所確認。
確認,返答	4	CFM	Confirm	確認します/確認してください	確認を求める際にCFM。	確認依頼「CFM MY QTH」で位置確認要求。
